theta1,theta2,omega1,omega2
0.0,0.0,-1.0,-1.0
0.0,0.0,-1.0,-0.8
0.0,0.0,-1.0,-0.6
0.0,0.0,-1.0,-0.3999999999999999
0.0,0.0,-1.0,-0.19999999999999996
0.0,0.0,-1.0,0.0
0.0,0.0,-1.0,0.20000000000000018
0.0,0.0,-1.0,0.40000000000000013
0.0,0.0,-1.0,0.6000000000000001
0.0,0.0,-1.0,0.8
0.0,0.0,-1.0,1.0
0.0,0.0,-0.8,-1.0
0.0,0.0,-0.8,-0.8
0.0,0.0,-0.8,-0.6
0.0,0.0,-0.8,-0.3999999999999999
0.0,0.0,-0.8,-0.19999999999999996
0.0,0.0,-0.8,0.0
0.0,0.0,-0.8,0.20000000000000018
0.0,0.0,-0.8,0.40000000000000013
0.0,0.0,-0.8,0.6000000000000001
0.0,0.0,-0.8,0.8
0.0,0.0,-0.8,1.0
0.0,0.0,-0.6,-1.0
0.0,0.0,-0.6,-0.8
0.0,0.0,-0.6,-0.6
0.0,0.0,-0.6,-0.3999999999999999
0.0,0.0,-0.6,-0.19999999999999996
0.0,0.0,-0.6,0.0
0.0,0.0,-0.6,0.20000000000000018
0.0,0.0,-0.6,0.40000000000000013
0.0,0.0,-0.6,0.6000000000000001
0.0,0.0,-0.6,0.8
0.0,0.0,-0.6,1.0
0.0,0.0,-0.3999999999999999,-1.0
0.0,0.0,-0.3999999999999999,-0.8
0.0,0.0,-0.3999999999999999,-0.6
0.0,0.0,-0.3999999999999999,-0.3999999999999999
0.0,0.0,-0.3999999999999999,-0.19999999999999996
0.0,0.0,-0.3999999999999999,0.0
0.0,0.0,-0.3999999999999999,0.20000000000000018
0.0,0.0,-0.3999999999999999,0.40000000000000013
0.0,0.0,-0.3999999999999999,0.6000000000000001
0.0,0.0,-0.3999999999999999,0.8
0.0,0.0,-0.3999999999999999,1.0
0.0,0.0,-0.19999999999999996,-1.0
0.0,0.0,-0.19999999999999996,-0.8
0.0,0.0,-0.19999999999999996,-0.6
0.0,0.0,-0.19999999999999996,-0.3999999999999999
0.0,0.0,-0.19999999999999996,-0.19999999999999996
0.0,0.0,-0.19999999999999996,0.0
0.0,0.0,-0.19999999999999996,0.20000000000000018
0.0,0.0,-0.19999999999999996,0.40000000000000013
0.0,0.0,-0.19999999999999996,0.6000000000000001
0.0,0.0,-0.19999999999999996,0.8
0.0,0.0,-0.19999999999999996,1.0
0.0,0.0,0.0,-1.0
0.0,0.0,0.0,-0.8
0.0,0.0,0.0,-0.6
0.0,0.0,0.0,-0.3999999999999999
0.0,0.0,0.0,-0.19999999999999996
0.0,0.0,0.0,0.0
